南崗工業區站     營業時間 : 00:00-24:00,南投縣南投市平山里仁和路13號,049-2251460,00:00-24:00
埔里中山路站     營業時間 : 07:00-22:00,南投縣埔里鎮中山路二段141號,049-2982844,07:00-22:00
草屯新豐     營業時間 : 07:00-22:00,南投縣草屯鎮中正路1615號,049-2333704,07:00-22:00
國姓站     營業時間 : 07:00-22:00,南投縣國姓鄉福龜村中正路一段55號,049-2721240,07:00-22:00
九如東寧站     營業時間 : 06:00-22:00,屏東縣九如鄉東寧村九如路一段16號,08-7390078,06:00-22:00
東港站     營業時間 : 00:00-24:00,屏東縣東港鎮興東里中正路一段85號,08-8322352,00:00-24:00
南州交流道站     營業時間 : 00:00-24:00,屏東縣南州鄉壽元村大同路107號,08-8644993,00:00-24:00
和生路站     營業時間 : 07:00-21:00,屏東縣屏東市橋南里和生路一段560號,08-7536740,07:00-21:00
墾丁站     營業時間 : 07:00-21:00,屏東縣恆春鎮墾丁里墾丁路402號,08-8861408,07:00-21:00
萬巒站     營業時間 : 07:00-21:00,屏東縣萬巒鄉萬巒村中正路5-2號,08-7811648,07:00-21:00
潮州站     營業時間 : 00:00-24:00,屏東縣潮州鎮三和里延平路217號,08-7882044,00:00-24:00
麟洛站     營業時間 : 07:00-22:00,屏東縣麟洛鄉麟蹄村中山路64號,08-7233148,07:00-22:00
中正路站     營業時間 : 00:00-24:00,苗栗縣竹南鎮中正路120號,037-463428,00:00-24:00
竹南站     營業時間 : 07:00-21:00,苗栗縣竹南鎮東平路101號,037-624865,07:00-21:00
卓蘭站     營業時間 : 07:00-22:00,苗栗縣卓蘭鎮中正西路101號,04-25892174,07:00-22:00
後龍站     營業時間 : 06:30-22:30,苗栗縣後龍鎮中華路51-2號,037-722041,06:30-22:30
北苗站     營業時間 : 07:00-21:00,苗栗縣苗栗市為公路110號,037-262439,07:00-21:00
中苗站     營業時間 : 00:00-24:00,苗栗縣苗栗市中正路442號,037-326764,00:00-24:00
山腳站     營業時間 : 07:00-21:00,苗栗縣苑裡鎮舊社里158號,037-745074,07:00-21:00
苑裡站     營業時間 : 00:00-24:00,苗栗縣苑裡鎮中山路19號,037-866747,00:00-24:00
通霄站     營業時間 : 07:00-21:00,苗栗縣通霄鎮中山路297號,037-752075,07:00-21:00
自強路站     營業時間 : 07:00-21:00,苗栗縣頭份市東庄里六鄰自強路二段170號,037-615343,07:00-21:00
南平路站     營業時間 : 07:00-21:00,苗栗縣頭份市蘆竹路270號,037-612746,07:00-21:00
頭份站     營業時間 : 00:00-24:00,苗栗縣頭份市自強路2號,037-663242,00:00-24:00
蘆竹站     營業時間 : 07:00-21:00,苗栗縣頭份市中華路444號,037-623740,07:00-21:00
頭份工業區站     營業時間 : 07:00-21:00,苗栗縣頭份市蘆竹里中華路519號,037-626224,07:00-21:00
桃園機場第三站     營業時間 : 07:00-22:00,桃園市大園區埔心里航勤南路2號,03-3834374,07:00-22:00
大園民生站     營業時間 : 00:00-24:00,桃園市大園區橫峰里1鄰民生南路163號,03-3856171,00:00-24:00
中壢工業區加油加氣站     營業時間 : 00:00-24:00,桃園市中壢區中華路二段230號,03-4521948,00:00-24:00
中壢工二站     營業時間 : 00:00-24:00,桃園市中壢區吉林路37巷15號,03-4620443,00:00-24:00
中壢站     營業時間 : 07:00-22:00,桃園市中壢區延平路33號,03-4522044,07:00-22:00
龍岡站     營業時間 : 00:00-24:00,桃園市中壢區環中東路二段659號,03-4592501,00:00-24:00
新富站     營業時間 : 00:00-24:00,桃園市平鎮區新富里中豐路一段298號,03-4573401,00:00-24:00
春日路站     營業時間 : 00:00-24:00,桃園市桃園區春日路971號,03-3550381,00:00-24:00
三民路站     營業時間 : 00:00-24:00,桃園市桃園區三民路一段150號,03-3348425,00:00-24:00
新屋站     營業時間 : 07:00-22:00,桃園市新屋區中山路85號,03-4772644,07:00-22:00
梅溪加油加氣站     營業時間 : 00:00-24:00,桃園市楊梅區中山北路一段391號,03-4782632,00:00-24:00
廣豐站     營業時間 : 07:00-21:00,桃園市楊梅區大平里中山南路259號,03-4786145,07:00-21:00
龍潭站     營業時間 : 00:00-24:00,桃園市龍潭區北龍路264號,03-4792614,00:00-24:00
林口工三站     營業時間 : 00:00-24:00,桃園市龜山區樂善里文化一路33號,03-3282232,00:00-24:00
龜山站     營業時間 : 00:00-24:00,桃園市龜山區萬壽路二段640號,03-3296223,00:00-24:00
蘆竹站     營業時間 : 00:00-24:00,桃園市蘆竹區錦興里中正路342號,03-3224714,00:00-24:00
大竹站     營業時間 : 07:00-22:00,桃園市蘆竹區大竹里大竹路503號,03-3232425,07:00-22:00
觀音站     營業時間 : 07:00-21:00,桃園市觀音區廣興里中山路一段166號,03-4735944,07:00-21:00
覺民路站     營業時間 : 00:00-24:00,高雄市三民區覺民路362號,07-3869992,00:00-24:00
鼎山路站     營業時間 : 00:00-24:00,高雄市三民區鼎山街373號,07-3839681,00:00-24:00
建工路站     營業時間 : 00:00-24:00,高雄市三民區建工路566號,07-3832928,00:00-24:00
大寮站     營業時間 : 06:30-22:30,高雄市大寮區永芳里鳳林三路616號,07-7813631,06:30-22:30
大林站     營業時間 : 07:00-21:00,高雄市小港區鳳華路1號,07-8714612,07:00-21:00
仁武站     營業時間 : 00:00-24:00,高雄市仁武區鳳仁路282號,07-3711361,00:00-24:00
永安站     營業時間 : 07:00-21:00,高雄市永安區維新里保安路47號,07-6912014,07:00-21:00
岡山站     營業時間 : 00:00-24:00,高雄市岡山區岡山南路45號,07-6252450,00:00-24:00
林園沿海路站     營業時間 : 07:00-22:00,高雄市林園區港埔里沿海路四段1號,07-6417604,07:00-22:00
中華三路站     營業時間 : 00:00-24:00,高雄市前金區中華三路136號,07-2851354,00:00-24:00
成功一路站     營業時間 : 07:00-23:00,高雄市前金區成功一路384號,07-2218734,07:00-23:00
中正四路站     營業時間 : 07:00-23:00,高雄市前金區中正四路251號,07-2212453,07:00-23:00
中山二路站     營業時間 : 07:00-23:00,高雄市前金區中山二路569號,07-2317441,07:00-23:00
民權路站     營業時間 : 00:00-24:00,高雄市前鎮區一心一路291號,07-3316290,00:00-24:00
高鳳站     營業時間 : 00:00-24:00,高雄市苓雅區建國一路3號,07-7491901,00:00-24:00
建國一路站     營業時間 : 00:00-24:00,高雄市苓雅區建國一路142號,07-7518715,00:00-24:00
梓官站     營業時間 : 00:00-24:00,高雄市梓官區梓和里和平路317號,07-6173555,00:00-24:00
中正三路站     營業時間 : 07:00-23:00,高雄市新興區中正三路9號,07-2261045,07:00-23:00
